time,x,y,z
0.009,-0.04,0.42,0.94
0.010,-0.03,0.40,0.94
0.020,-0.03,0.38,0.93
0.031,-0.05,0.37,0.92
0.040,-0.06,0.36,0.92
0.050,-0.05,0.36,0.91
0.060,-0.03,0.36,0.91
0.070,-0.02,0.36,0.92
0.085,-0.02,0.35,0.94
0.090,-0.02,0.34,0.94
0.100,-0.01,0.33,0.94
0.110,0.01,0.32,0.87
0.120,0.02,0.34,0.83
0.133,0.03,0.35,0.80
0.140,0.04,0.36,0.78
0.167,0.04,0.35,0.79
0.168,0.03,0.33,0.83
0.185,0.02,0.31,0.87
0.187,0.02,0.29,0.90
0.202,0.03,0.28,0.91
0.203,0.03,0.30,0.89
0.219,0.03,0.32,0.88.
0.236,0.03,0.32,0.87
0.237,0.04,0.33,0.84
0.252,0.03,0.32,0.85
0.253,0.02,0.31,0.86
0.269,0.03,0.31,0.89
0.285,0.03,0.32,0.93
0.286,0.02,0.32,0.96
0.302,0.01,0.32,0.98
0.303,-0.00,0.30,0.98
0.319,-0.01,0.29,0.98
0.320,-0.01,0.29,0.97
0.331,-0.01,0.30,0.95
0.353,-0.01,0.33,0.97
0.354,-0.03,0.34,0.96
0.361,-0.04,0.34,0.94
0.371,-0.03,0.34,0.94
0.381,-0.02,0.32,0.92
0.402,-0.04,0.29,0.90
0.403,-0.04,0.28,0.91
0.410,-0.01,0.29,0.93
0.420,0.00,0.31,0.92
0.430,0.00,0.33,0.90
0.440,-0.00,0.34,0.88
0.450,0.04,0.37,0.87
0.460,0.07,0.38,0.87
0.471,0.07,0.37,0.86
0.480,0.05,0.36,0.86
0.490,0.04,0.33,0.86
0.500,0.02,0.32,0.84
0.510,-0.00,0.32,0.86
0.523,-0.03,0.33,0.90
0.531,-0.03,0.34,0.93
0.555,-0.03,0.33,0.94
0.557,-0.03,0.31,0.93
0.561,-0.02,0.29,0.94
0.590,-0.02,0.28,0.97
0.591,-0.03,0.27,0.99
0.592,-0.02,0.27,1.00
0.601,0.00,0.30,1.00
0.622,0.02,0.32,0.98
0.623,0.03,0.32,0.96
0.631,0.02,0.32,0.92
0.644,-0.00,0.30,0.86
0.651,-0.01,0.28,0.84
0.661,0.00,0.28,0.83
0.691,-0.01,0.29,0.86
0.693,-0.04,0.28,0.93
0.693,-0.04,0.26,0.99
0.702,-0.04,0.25,1.00
0.725,-0.02,0.26,1.00
0.726,-0.00,0.27,0.99
0.731,0.01,0.30,0.97
0.759,0.02,0.32,0.95
0.760,0.02,0.32,0.92
0.761,0.00,0.31,0.92
0.771,-0.01,0.30,0.91
